10DayAverageTradingVolume,13WeekPriceReturnDaily,26WeekPriceReturnDaily,3MonthADReturnStd,3MonthAverageTradingVolume,52WeekHigh,52WeekHighDate,52WeekLow,52WeekLowDate,52WeekPriceReturnDaily,5DayPriceReturnDaily,assetTurnoverAnnual,assetTurnoverTTM,beta,bookValuePerShareAnnual,bookValuePerShareQuarterly,bookValueShareGrowth5Y,capexCagr5Y,cashFlowPerShareAnnual,cashFlowPerShareQuarterly,cashFlowPerShareTTM,cashPerSharePerShareAnnual,cashPerSharePerShareQuarterly,currentDividendYieldTTM,currentEv/freeCashFlowAnnual,currentEv/freeCashFlowTTM,currentRatioAnnual,currentRatioQuarterly,dividendGrowthRate5Y,dividendIndicatedAnnual,dividendPerShareAnnual,dividendPerShareTTM,dividendYieldIndicatedAnnual,ebitdPerShareAnnual,ebitdPerShareTTM,ebitdaCagr5Y,ebitdaInterimCagr5Y,enterpriseValue,epsAnnual,epsBasicExclExtraItemsAnnual,epsBasicExclExtraItemsTTM,epsExclExtraItemsAnnual,epsExclExtraItemsTTM,epsGrowth3Y,epsGrowth5Y,epsGrowthQuarterlyYoy,epsGrowthTTMYoy,epsInclExtraItemsAnnual,epsInclExtraItemsTTM,epsNormalizedAnnual,epsTTM,evEbitdaTTM,evRevenueTTM,focfCagr5Y,forwardPE,grossMargin5Y,grossMarginAnnual,grossMarginTTM,inventoryTurnoverAnnual,inventoryTurnoverTTM,longTermDebt/equityAnnual,longTermDebt/equityQuarterly,marketCapitalization,monthToDatePriceReturnDaily,netIncomeEmployeeAnnual,netIncomeEmployeeTTM,netInterestCoverageAnnual,netInterestCoverageTTM,netMarginGrowth5Y,netProfitMargin5Y,netProfitMarginAnnual,netProfitMarginTTM,operatingMargin5Y,operatingMarginAnnual,operatingMarginTTM,payoutRatioAnnual,payoutRatioTTM,pb,pbAnnual,pbQuarterly,pcfShareAnnual,pcfShareTTM,peAnnual,peBasicExclExtraTTM,peExclExtraAnnual,peExclExtraTTM,peInclExtraTTM,peNormalizedAnnual,peTTM,pegTTM,pfcfShareAnnual,pfcfShareTTM,pretaxMargin5Y,pretaxMarginAnnual,pretaxMarginTTM,priceRelativeToS&P50013Week,priceRelativeToS&P50026Week,priceRelativeToS&P5004Week,priceRelativeToS&P50052Week,priceRelativeToS&P500Ytd,psAnnual,psTTM,ptbvAnnual,ptbvQuarterly,quickRatioAnnual,quickRatioQuarterly,receivablesTurnoverAnnual,receivablesTurnoverTTM,revenueEmployeeAnnual,revenueEmployeeTTM,revenueGrowth3Y,revenueGrowth5Y,revenueGrowthQuarterlyYoy,revenueGrowthTTMYoy,revenuePerShareAnnual,revenuePerShareTTM,revenueShareGrowth5Y,roa5Y,roaRfy,roaTTM,roe5Y,roeRfy,roeTTM,roi5Y,roiAnnual,roiTTM,tangibleBookValuePerShareAnnual,tangibleBookValuePerShareQuarterly,tbvCagr5Y,totalDebt/totalEquityAnnual,totalDebt/totalEquityQuarterly,yearToDatePriceReturnDaily,symbol,company,sector
48.43411,-1.0768,14.245,22.221354,48.35002,288.62,2025-12-03,169.2101,2025-04-08,7.6272,3.4405,1.1584,1.2435,1.1193707,4.991,5.9982,5.34,11.71,6.6855,8.3878,6.86253,3.7024,4.5507,0.3963,40.0237,32.0539,0.8933,0.9737,4.95,1.04,1.0318,1.0413,0.39071307,9.6255,10.2536,13.33,8.45,3953017.5,7.465,7.465,7.9038,7.465,7.9038,6.89,17.91,18.54,25.65,7.465,7.9038,7.465,7.9038,25.8401,9.0745,6.13,32.38712855904865,44.47,46.91,47.33,33.9834,35.8924,1.0623,0.8695,3907825.5,1.9655,0.6748,0.7095,622.5082,622.5082,5.18,25.48,26.92,27.04,30.67,31.97,32.38,13.77,13.15,44.3114,50.978,45.8689,35.0534,28.846,34.8882,33.1799,30.96975,33.1799,33.1799,34.8882,33.1799,1.3130331432199611,39.5661,31.6875,30.64,31.89,32.4,-4.6461,7.0975,6.6393,-5.3237,-3.7791,9.3902,8.9708,4.8643,6.4066,0.8588,0.9376,11.3725,12.5249,2.507,2.6242,1.81,8.68,15.65,10.07,27.7354,29.413,12.11,27.93,31.180000000000003,33.62,163.92,151.91,159.94,57.1,64.51,68.92,5.8583,6.7916,11.34,1.3547,1.0263,-2.6778,AAPL,Apple,Technology
36.8513,-22.139,-25.6488,30.986208,28.89363,555.45,2025-07-31,344.79,2025-04-07,-5.8156,-3.122,0.4551,0.492,1.1167679,46.2038,52.6148,24.21,33.12,9.6329,10.4202,12.3339,12.7206,12.0423,0.8792,41.1997,38.1124,1.3534,1.386,10.24,3.64,3.2394,3.4,0.9467579,21.0332,23.5223,19.08,15.21,2950355.2,13.6413,13.6413,15.9824,13.6413,15.9824,12.24,18.8,59.69,28.74,13.6413,15.9824,13.6413,15.9824,16.8084,9.6589,9.62,23.364079904217423,68.97,68.82,68.59,80.4313,97.5142,0.1169,0.0906,2874238.2,-10.6486,0.4466,0.5231,21.9428,891.8017,3.15,35.88,36.15,39.04,43.04,45.29,46.62,23.65,21.19,7.3533,10.7635,9.1959,21.109,17.9074,28.2253,24.1002,38.97343,24.1002,24.1002,28.2253,24.1002,0.8649968710067629,40.1368,37.1291,42.9,43.88,47.97,-25.5189,-31.7253,-16.754,-19.5586,-20.5705,10.2023,9.4098,11.5217,9.6994,1.3468,1.3779,4.4426,5.8335,1.2356,1.3397,12.42,14.52,16.72,16.67,37.7393,40.9454,15.18,17.9,16.45,19.21,36.88,29.65,33.61,27.19,23.53,26.669999999999998,43.1632,49.8837,23.59,0.2601,0.2569,-20.5016,MSFT,Microsoft,Technology
38.86753,9.5715,53.0663,26.39562,36.78001,349.0,2026-02-03,140.53,2025-04-07,73.3775,3.1356,0.6767,0.764,1.1244926,34.3535,34.3535,15.83,32.63,6.0611,6.0611,6.35252,10.4933,10.4933,0.2667,51.6406,51.6406,2.0053,2.0053,,0.84,0.8271,0.8271,0.2696716,12.4155,11.3222,23.49,18.02,3783503.2,10.807,10.807,10.8058,10.807,10.8058,33.35,29.82,40.28,36.69,10.807,10.8058,10.807,10.8058,27.3234,9.3922,11.33,27.064695202561975,57.42,59.65,59.65,65.7307,42.6553,0.1121,0.1121,3767664.2,-7.8432,0.6926,0.6926,84.046,16.1988,8.26,27.23,32.81,32.81,29.71,32.03,32.03,7.6,7.6,9.0729,9.1044,9.1044,22.8741,22.8741,28.5062,28.5062,29.99239,28.5062,28.5062,28.5062,28.5062,0.8403686570972559,51.4245,51.4245,32.4,39.43,39.43,6.1916,46.9898,-5.0398,59.6345,-0.5513,9.3528,9.3528,4.5068,6.2217,2.0053,2.0053,6.9921,6.9921,2.1111,2.1111,12.51,17.15,17.99,15.09,32.9383,32.9437,19.92,20.07,22.2,25.069999999999997,28.46,31.830000000000002,35.0,26.72,28.62,32.56,19.7727,21.6385,11.14,0.1121,0.1121,-0.4824,GOOGL,Alphabet,Technology
12.70627,6.6188,-16.9566,34.547897,17.82142,796.25,2025-08-15,479.8,2025-04-21,-6.7735,-0.3191,0.5491,0.6458,1.2826666,86.1895,86.1895,13.87,35.75,18.2934,18.2934,15.31256,32.371,32.371,0.3257,35.9495,35.9495,2.5988,2.5988,,2.1,2.1066,2.1066,0.32954097,39.5851,39.8873,20.87,15.13,1657596.1,23.488,23.488,23.491000000000003,23.488,23.491000000000003,39.86,18.41,11.22,-1.65,23.488,23.491000000000003,23.488,23.491000000000003,16.1433,8.2482,14.3,21.428060796309442,80.96,82.0,82.0,,,0.2704,0.2704,1634725.1,-11.0607,0.7666,0.7666,104.2593,168.4054,-2.36,30.05,30.08,30.08,36.55,41.44,41.44,8.81,8.81,7.5249,7.6586,7.6586,14.1168,14.1168,27.039,27.039,36.98491,27.039,27.039,27.039,27.039,,35.4535,35.4535,37.14,42.76,42.76,3.2389,-23.0331,-3.7293,-20.5165,-3.529,8.1343,8.1344,8.1339,9.6647,2.4228,2.4228,10.9331,10.933,2.5482,2.5482,19.89,18.51,23.78,22.17,78.0754,78.3489,21.27,18.47,16.520000000000003,19.43,27.5,27.83,30.56,24.48,21.91,25.82,71.7135,75.7188,12.65,0.2704,0.2704,-3.4601,META,Meta Platforms,Technology
163.27531,5.6187,5.2415,33.247482,180.87656,212.1899,2025-10-29,86.62,2025-04-07,42.4905,3.5573,1.1693,1.3895,2.3845198,3.2409,4.8919,45.46,45.93,2.4861,3.1814,8.20683,1.7653,2.4936,0.0212,75.8469,59.6905,4.4399,4.4676,16.27,0.04,0.034,0.04,0.0,3.4007,4.6577,92.09,85.77,4615512.0,2.9382,2.9382,4.0375,2.9382,4.0375,96.93,91.83,67.23,59.09,2.9382,4.0375,2.9382,4.0375,40.3101,24.6632,70.11,40.90903568787987,67.82,75.45,70.32,4.1709,4.0484,0.1067,0.0628,4618531.0,0.2197,2.0244,2.7555,29.0975,75.6607,16.88,36.62,55.85,53.01,39.34,62.42,58.84,1.14,0.98,38.8448,36.5589,39.1365,72.0643,55.5386,63.3717,46.5587,274.2091,46.5587,46.5587,63.3717,46.5587,0.8036686979411485,75.8965,59.7296,39.76,64.39,62.13,2.2388,-0.835,4.2169,28.7475,2.6389,35.3919,24.6793,36.9346,39.447,3.6724,3.6049,7.8936,7.3268,3.6249,5.1984,69.25,64.24,62.49,65.22,5.2611,7.6438,64.13,31.66,65.3,73.65,48.63,91.86999999999999,103.82000000000001,39.37,83.02000000000001,95.37,3.2079,4.8534,45.23,0.1067,0.0712,2.7078,NVDA,NVIDIA,Technology
9.62333,-0.5811,2.1061,26.862219,9.76737,337.25,2026-01-05,202.16,2025-04-07,12.6514,-3.0801,,,1.0766389,134.4255,134.4255,7.97,,-15.0171,-43.9884,18.82441,184.1808,168.8577,2.0012,,,,,6.07,6.0,5.2105,5.8025,0.0,26.0992,28.4391,10.32,-0.17,1745203.7,20.5098,20.5098,20.502499999999998,20.5098,20.502499999999998,17.37,16.8,-3.54,0.98,20.5098,20.502499999999998,20.5098,20.502499999999998,22.0621,,,13.843525883305501,,,,,,1.2008,1.2008,802825.7,-2.6872,0.1791,0.1791,,,2.27851,30.94261,29.27542,33.26454,38.1933,35.87241,41.22809,25.28,27.69,2.2151,2.4202,2.4202,,,14.0728,14.0728,12.70516,14.0728,14.0728,14.0728,14.0728,11.65730298718312,61.8796,4.5279,38.1933,35.87241,41.22809,-3.961,-3.9704,0.3731,-1.0916,-7.6879,3.46711,2.89596,2.9437,2.9437,,,,,455760.8,,3.36295,7.72575,73.97212,108.9793,43.33165,52.13935,9.00584,1.27,1.29,1.28,15.43,15.740000000000002,15.950000000000001,5.1,4.37,4.18,110.5185,110.5185,1.61,2.6001,2.6001,-7.619,JPM,JPMorgan Chase,Finance
2.45069,14.944,22.0737,28.913692,2.25367,984.7,2026-01-16,439.38,2025-04-07,42.6327,-2.5905,0.0691,0.0698,1.3512373,416.7653,416.7653,8.37,-24.36,-49.2606,52.5414,34.39028,546.7961,546.7961,1.8683,126.0864,80.148,0.3159,0.3159,19.24,16.0,14.1854,16.1708,1.9886427,75.6738,75.6559,10.82,1.11,1263853.62,54.0806,54.0806,54.0624,54.0806,54.0624,19.81,15.55,17.91,26.33,54.0806,54.0624,54.0806,54.0624,52.5861,10.103,,15.329741140345384,51.95,40.2,40.2,,,2.288,2.288,265853.62,-4.6076,0.3624,0.3624,,,-3.94,16.5,13.73,13.73,20.62,17.47,17.47,31.5,29.8,2.1268,2.1091,2.1091,,14.8621,15.4782,15.4782,11.28295,15.4782,15.4782,15.4782,15.4782,0.6778864672150889,53.5995,4.9694,20.62,17.47,17.47,11.5641,15.9972,-2.7516,28.8897,1.4453,2.1252,2.1252,1.4837,1.9514,0.3159,0.3159,0.7825,0.7825,2.6392,2.6392,22.11,17.29,-6.56,-1.38,393.8822,399.7987,20.29,0.92,0.95,0.96,12.4,13.74,13.8,1.3,1.3299999999999998,1.3599999999999999,389.9805,411.6218,6.21,9.296,9.296,1.5142,GS,Goldman Sachs,Finance
41.3204,-1.1038,6.5735,21.74462,38.3252,57.55,2026-01-05,33.065,2025-04-09,13.9701,-3.1665,,,1.2819684,42.0443,42.0443,5.91,,-1.1569,8.387,3.81224,28.78697,44.39103,2.5629,,17.5761,,,13.83,1.12,1.2257,1.2622,2.1930683,4.9076,4.7851,12.59,7.81,1080439.12,3.9721,3.9721,4.0055000000000005,3.9721,4.0055000000000005,5.63,14.32,16.78,16.51,3.9721,4.0055000000000005,3.9721,4.0055000000000005,29.5186,,,11.522205012708296,,,,,,1.0481,1.0481,369819.12,-4.0038,0.1431,0.1437,,,4.58749,29.42913,28.9921,30.15501,33.47932,32.61611,32.73721,35.23,31.82,1.2195,1.3245,1.3245,,6.0161,12.1216,12.0745,9.33382,12.0745,12.0745,12.1216,12.0745,0.719730040867212,8.2215,5.0808,33.47932,32.61611,32.73721,-4.4837,0.497,-0.3336,0.2271,-7.2144,2.48091,2.32875,0.9199,1.251,,,,,446823.5,,0.61805,4.73519,71.36741,99.36713,11.62534,12.45394,7.53813,0.89,0.89,0.8999999999999999,10.05,10.059999999999999,10.190000000000001,3.3,3.01,2.9899999999999998,36.6851,41.2382,1.91,2.3434,2.3434,-7.1455,BAC,Bank of America,Finance
9.80036,22.92,39.4837,16.2795,8.94357,246.96,2026-02-19,141.5,2025-04-09,51.4726,1.0315,0.4728,0.4836,0.32649878,33.8646,33.8646,7.1,7.62,8.1804,8.1804,7.60569,8.3482,8.3482,2.0931,31.9906,31.9906,1.0277,1.0277,7.68,5.2,5.1428,5.1428,2.115197,16.4646,16.3118,11.4,7.29,630150.7,11.0332,11.0332,11.0458,11.0332,11.0458,17.88,14.9,48.5,90.56,11.0332,11.0458,11.0332,11.0458,15.9133,6.69,-0.49,21.256795036645578,69.14,67.88,67.92,2.2719,2.2693,0.4836,0.4836,591509.7,8.1804,0.194,0.194,35.18796,34.00563,9.82,26.91,28.46,28.46,23.93,34.59,34.59,46.19,46.19,7.2539,6.1326,6.1326,24.1137,24.1137,22.068,22.068,22.64338,22.068,22.068,22.068,22.068,0.24249511676659258,30.0289,30.0289,23.93,34.59,34.59,19.5401,33.4072,12.4863,37.7296,18.7231,6.2798,6.2798,16.0584,16.0584,0.6888,0.6888,5.8834,5.8834,0.6816,0.6816,5.6,2.67,9.08,6.05,38.7721,38.6195,4.63,12.66,13.459999999999999,13.76,31.04,32.87,33.78,20.86,20.7,20.849999999999998,12.9326,12.9326,25.82,0.5878,0.5878,18.792,JNJ,Johnson & Johnson,Healthcare
7.84854,-9.9624,-8.4768,47.849712,8.60801,606.36,2025-04-11,234.6,2025-08-01,-39.4666,-2.3349,1.4457,1.44,0.38824922,110.4942,110.4942,9.8,12.05,17.3541,17.3541,27.99469,25.01606,42.07027,3.0847,19.5224,19.5224,0.8822,0.9546,12.43,8.84,8.6949,8.6949,3.130977,25.3128,25.299,-1.83,-20.25,306892.08,13.2338,13.2338,13.1938,13.2338,13.1938,-14.51,-3.76,-99.82,-14.94,13.2338,13.1938,13.2338,13.1938,13.3084,0.6857,-4.82,15.819222714418151,,,,,,0.7225,0.7225,256624.08,-1.5997,0.0301,0.0301,4.6724,4.6724,-14.79,4.91,2.69,2.69,7.2,4.18,4.18,65.66,65.66,2.5639,2.9876,2.9876,13.2677,13.2677,21.286,21.286,25.83225,21.286,21.286,21.286,21.286,,16.3247,14.7672,6.4,3.28,3.28,-13.3423,-14.5533,-18.2151,-53.2096,-14.5398,0.5734,0.5734,6.709,4.2838,0.671,0.7485,,,1.1189,1.1189,11.35,11.72,12.31,11.81,491.292,491.8319,12.92,6.65,3.8899999999999997,3.88,20.56,12.049999999999999,12.5,11.92,6.75,6.84,75.8361,80.5762,7.98,0.7832,0.7832,-14.4709,UNH,UnitedHealth,Healthcare
65.02111,-7.7645,-11.3266,28.820286,48.8643,258.6,2025-11-03,161.38,2025-04-07,-5.2221,2.0482,0.8764,0.9987,1.4346317,38.3063,38.3063,32.77,26.85,0.7171,0.7171,6.54859,11.4648,11.4648,,281.2963,281.2963,1.0508,1.0508,,0.0,,,,14.8665,14.3006,45.23,24.56,2164575.2,7.1737,7.1737,7.1722,7.1737,7.1722,,27.96,5.02,29.87,7.1737,7.1722,7.1737,7.1722,13.9804,3.0193,-21.57,26.424332269726175,46.39,50.29,50.29,9.8268,9.8268,0.1597,0.1597,2185737.2,-14.2206,0.0493,0.0493,8.014,0.6192,14.39,6.4,10.83,10.83,7.2,11.16,11.16,,,5.3173,6.0027,6.0027,15.6668,15.6668,28.1413,28.1413,,28.1413,28.1413,28.1413,28.1413,0.980289048217121,284.0464,139.2278,7.57,13.57,13.57,-11.1444,-17.4031,-12.4114,-18.9651,-11.1381,3.0488,3.0488,8.3171,8.0857,0.875,0.875,13.3941,13.8852,0.4549,0.4549,11.73,13.18,13.63,12.38,66.2163,65.9969,11.84,6.41,9.49,10.82,15.39,18.89,21.87,11.47,16.29,18.16,26.1841,18.7025,36.74,0.1597,0.1597,-11.0692,AMZN,Amazon,Consumer
30.68932,24.0852,24.9355,27.65539,26.80052,134.69,2026-02-17,79.81,2025-04-07,32.739,-2.3593,2.5052,2.578,0.66074884,12.4987,12.4987,5.5,21.02,1.8724,1.8724,10.33484,1.3459,1.3459,0.72,72.5997,72.5997,0.7898,0.7898,5.41,0.94,0.9387,0.9387,0.7852966,5.7471,5.286,12.83,248.84,1083405.6,2.7291,2.7291,2.7296,2.7291,2.7296,24.21,11.53,-18.67,13.49,2.7291,2.7296,2.7291,2.7296,25.5502,1.5192,-10.38,44.8190085331567,24.68,24.93,24.93,9.2881,9.2881,0.3476,0.3476,1042609.6,5.5985,0.0104,0.0104,7.7785,13.1222,4.87,2.52,3.07,3.07,3.99,4.18,4.18,34.29,34.29,10.4662,9.9258,9.9258,25.0838,25.0838,47.623,47.623,36.52979,47.623,47.623,47.623,47.623,2.4582430128117587,69.866,69.866,3.48,4.13,4.13,20.7053,18.859,8.4375,18.996,12.8563,1.462,1.462,9.1149,8.16558,0.2038,0.2038,67.4481,67.4481,0.3396,0.3396,5.27,4.99,5.6,4.73,88.9009,89.0452,6.31,6.33,7.6899999999999995,7.91,18.7,21.98,23.69,12.21,14.49,15.17,10.7818,19.11194,-4.03922,0.5172,0.5172,12.9252,WMT,Walmart,Consumer
19.94914,13.1143,16.5341,16.720518,17.52692,80.845,2026-02-23,65.3538,2025-09-29,12.9082,1.2569,0.4574,0.46,0.3398095,7.4777,7.4777,10.76,12.4,1.2311,1.2311,2.74904,3.6741,3.6741,2.5436,71.8205,71.8205,1.4588,1.4588,4.44,2.04,2.0407,2.0407,2.631579,3.6831,3.6142,7.08,2.79,380361.56,3.039,3.039,3.0385,3.039,3.0385,11.48,11.14,3.54,23.49,3.039,3.0385,3.039,3.0385,24.3978,7.934,-9.38,24.95023734625609,60.12,61.63,61.63,4.0199,4.0199,1.3093,1.3093,345139.56,7.6861,0.188,0.188,230.68,67.1348,3.1,24.16,27.34,27.34,26.6,28.71,28.55,66.98,66.98,10.7289,9.3483,9.3483,46.5901,46.5901,26.3325,26.3325,26.70089,26.3325,26.3325,26.3325,26.3325,1.1187926711886849,65.1699,31.9367,29.76,33.37,33.37,9.7344,10.4576,12.518,-0.8348,15.165,7.1993,7.1993,15.3134,15.3134,1.1365,1.1365,14.5122,14.5122,0.6878,0.6878,3.69,7.75,2.41,1.87,11.1155,11.1155,7.8,10.94,12.5,12.58,41.38,40.739999999999995,44.35,15.58,16.88,16.93,4.5649,4.5649,18.93,1.4142,1.4142,15.2339,KO,Coca-Cola,Consumer
3.18647,38.3247,83.3244,34.3176,2.80001,789.81,2026-02-12,267.3,2025-04-07,122.465,-1.084,0.6856,0.7355,1.5216919,45.5532,45.5532,10.13,15.17,15.9259,15.9259,21.68971,21.3257,21.3257,0.781,51.7008,51.7008,1.4357,1.4357,7.25,6.04,5.8124,5.8124,0.79844546,33.1654,32.8193,15.64,17.69,385325.9,18.8101,18.8101,18.8265,18.8101,18.8265,14.16,28.05,-11.46,-14.7,18.8101,18.8265,18.8101,18.8265,24.8694,5.701,12.09,33.11678228522915,33.91,33.79,33.86,2.56,2.5571,1.4399,1.4399,351975.9,15.077,0.0787,0.0787,7.825,7.2015,12.85,13.84,13.14,13.14,16.56,16.5,16.5,30.94,30.94,16.5107,12.5758,12.5758,29.9835,29.9835,39.6191,39.6191,19.56745,39.6191,39.6191,39.6191,39.6191,,47.2261,47.2261,17.6,17.08,17.08,34.9448,77.2479,20.4494,108.722,31.9803,5.2076,5.2076,12.7196,12.7196,0.863,0.863,6.6913,6.6913,0.5987,0.5987,4.38,10.12,18.0,4.29,143.1061,144.113,13.46,9.83,9.01,9.67,46.34,41.67,45.15,15.01,13.74,14.63,45.0382,45.0382,8.49,2.0326,2.0326,32.0492,CAT,Caterpillar,Industrial
5.59345,21.5209,-0.8476,31.767372,8.0664,254.3499,2026-01-27,128.8801,2025-04-07,30.0819,-5.5729,0.5318,0.5681,1.1039804,6.9504,6.9504,-10.73,17.76,-2.4035,-2.4035,-1.65451,37.4666,37.4666,0.185,,,1.1882,1.1882,-36.84,,0.4316,0.4316,,9.6209,9.5442,,,222086.92,2.9319,2.9319,2.3464,2.9319,2.3464,,,,,2.9319,2.3464,2.9319,2.3464,30.2818,2.4824,,149.04482987002237,4.39,4.79,4.79,0.9891,0.9891,8.3676,8.3676,178909.92,-1.4034,0.0123,0.0123,1.9596,1.9596,,-6.46,2.5,2.5,-4.44,4.79,4.79,14.81,1.06,32.8034,31.1735,31.1735,167.9905,167.9905,80.0492,80.0492,,80.0492,80.0492,80.0492,80.0492,,40.3587,296.2085,-6.72,2.95,2.95,18.141,-6.9241,-5.7489,16.3389,6.066,1.9998,1.9998,43.7408,43.7408,0.4049,0.4049,7.7548,7.7548,0.4916,0.4916,10.33,8.81,57.12,34.5,117.3593,111.3001,2.61,-2.9,1.3299999999999998,1.4200000000000002,867.03,40.98,150.72,44.44,3.75,13.8,4.9535,4.9535,52.52,9.919,9.919,6.1349,BA,Boeing,Industrial
